
"Pay.ir Online Payment","پرداخت آنلاین Pay.ir"
"Pay.ir Payment Gateway","درگاه پرداخت Pay.ir"
"This extension is from <a href=""https://pay.ir/"" target=""_blank"">Pay.ir</a>","این افزونه توسط تیم فنی <a href=""https://pay.ir/"" target=""_blank"">Pay.ir</a> توسعه داده شده است.‏"
"Enabled","فعال است"
"Test Mode","حالت تست"
"Title","عنوان"
"API Key","کد API"
"SSL Enabled (for callback URL)","SSL فعال؟ (برای لینک بازگشت)"
"Order Status(before send request)","وضعيت سفارش (قبل از پرداخت)"
"Order Status(after send request)","وضعيت سفارش (بعد از پرداخت)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"You will be redirected to Pay.ir website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به وب سایت Pay.ir ارجاع داده خواهید شد."
"Your order has been received.","سفارش شما دریافت شد."
"Yours order track number is %s","شماره پیگیری سفارش شما عبارت است از %s"
"Click <a href=""%s"">here to print</a> a copy of your order confirmation.","برای چاپ تائیدیه سفارش خود <a href=""%s"">اینجا</a> کلیک کنید."
"Pay.ir Transaction ID: %s","شماره تراکنش: %s"
"Please wait! You will be redirected to Pay.ir","لطفا منتظر بمانید! برای پرداخت به وب سایت Pay.ir ارجاع داده خواهید شد"
